dog_type,O,C,E,A,N
Friendly Family Dog,1.195117899335481,1.3724575621168373,4.048084946661382,5.0,1.0956833748955914
Friendly Family Dog,3.638592458777374,1.3384799377310401,3.9339202013526835,3.7889838002375438,1.348163892197841
Friendly Family Dog,3.047398671316414,2.1395866347160477,3.6154444557701746,5.0,1.4231081304768511
Friendly Family Dog,3.835692112065142,1.870293145342382,4.529804177915283,5.0,1.0
Friendly Family Dog,2.203104744529523,3.57707212718054,3.7969546139570074,5.0,1.3960148132841794
Friendly Family Dog,3.0865897874729,2.8443227646079206,5.0,5.0,2.337602662075202
Friendly Family Dog,2.5881230338775327,2.5123937759275066,3.567441812180379,5.0,1.579015519179737
Friendly Family Dog,3.289774856896413,5.0,4.8711247034316925,4.6739764678321585,3.201213922163945
Friendly Family Dog,2.5919246269784484,1.0,2.9919136890825957,3.1292080789741443,1.6484865159586914
Friendly Family Dog,3.018418379189552,4.676437312275283,4.326927373764162,4.780899471191136,2.8294055811834893
Friendly Family Dog,1.0,3.235614558108566,4.770865193886967,3.5214137542201582,3.143754043206929
Friendly Family Dog,3.3384964074944143,2.5847120860991986,4.632781866106285,5.0,2.181866255058495
Friendly Family Dog,3.248220586300336,2.5406391004597557,3.1501556305352083,5.0,1.1439161740911328
Friendly Family Dog,3.0715662372193924,2.5223425532348833,4.478979825746392,5.0,3.037539944257899
Friendly Family Dog,2.4899836011452527,2.7301250647066286,3.0212362842176925,4.555706739923888,2.377300493044852
Friendly Family Dog,3.756988616645352,2.0778346758223747,4.86960592010566,5.0,2.413434903223701
Friendly Family Dog,4.876795812558066,2.226210800896427,2.755345296688583,3.2212797510957216,3.4960443114891833
Friendly Family Dog,3.6543656563540576,2.9444153290895447,4.27996862631982,3.8745109527016233,4.445751979616826
Friendly Family Dog,3.1292211819752276,3.109394794604893,4.725766623898692,5.0,2.2238840242791316
Friendly Family Dog,2.209525544554688,3.4714683571359957,5.0,5.0,3.5931866266393975
Friendly Family Dog,2.4887843235688147,2.010395179741419,3.874213079900352,5.0,3.0941915184709483
Friendly Family Dog,1.3075353702851806,4.529550319460614,3.8419921014210106,4.57311893005258,1.0
Friendly Family Dog,1.3451433281342302,3.8231705839619146,4.073317967188403,3.710039100258946,1.0
Friendly Family Dog,2.6642153007098717,4.669021525289393,3.740408648636395,3.496857046881894,1.7542569359140558
Friendly Family Dog,2.7272764302523296,1.0,3.9457051334821878,4.769065469791322,2.6962063648134182
Friendly Family Dog,4.848956094945345,4.126565029547757,3.7311113094451693,3.89347409125833,4.57335980324986
Friendly Family Dog,3.0592184340144883,3.0139292919129463,3.9758749128899966,5.0,1.8556395880760572
Friendly Family Dog,2.4263379931197635,2.453141058759608,3.9672467297840015,4.456575228866235,1.2871542173228356
Friendly Family Dog,3.106430227691897,2.7450227825791447,5.0,2.349030191606988,3.0915068519224618
Friendly Family Dog,4.246085192497629,1.0,3.6573124059196513,4.628559134004209,1.0
Friendly Family Dog,2.2221833124091246,1.8894241545341712,5.0,5.0,3.2715550949941585
Friendly Family Dog,3.721672064043235,1.870948228782771,3.4754797337202263,5.0,1.0
Friendly Family Dog,3.712998430172388,2.759674601841865,3.625179192450403,5.0,2.44426331148604
Friendly Family Dog,2.6390338341809203,4.159329803364248,2.9189366724001027,5.0,2.593101257968384
Friendly Family Dog,2.69045356068601,3.326133022242118,2.748886423614697,5.0,1.815097863557011
Friendly Family Dog,2.4772769794809606,4.0490092258368895,3.295656309457241,3.5915387036364406,1.0
Friendly Family Dog,3.60600995134564,1.719570647503717,5.0,2.918070592116278,3.696456368290038
Friendly Family Dog,3.2110174672026184,2.9032868881296077,3.4550809131910505,5.0,1.9623652975751515
Friendly Family Dog,4.103301882016522,3.1142276486620397,4.150301761461877,4.636387787786144,1.9430543762789325
Friendly Family Dog,3.3078017688920593,1.2898316073433747,2.651814577894287,5.0,2.170865438127942
Friendly Family Dog,2.816016663647321,3.0184339330653933,4.347581705361671,4.460240319690638,1.2216952745976872
Friendly Family Dog,3.1958452550976815,2.021627222384968,4.4082527557144715,3.2974163957621596,3.0291556373256436
Friendly Family Dog,3.4725974824130432,3.2560297343138758,4.982690983945514,5.0,3.0143700650181304
Friendly Family Dog,1.1591257686683547,1.7204230332642985,3.3751814223043213,5.0,2.517659020469123
Friendly Family Dog,2.2742561868465345,3.1867667644770785,3.2446170676466775,4.388482197008051,1.0
Friendly Family Dog,2.0767667538890957,1.6483153943836664,3.024126747022667,5.0,1.0506011111680569
Friendly Family Dog,5.0,3.4933179008808892,4.184836123694874,4.141642219818786,2.7003098794089913
Friendly Family Dog,2.4243621737622263,3.1220098146453616,5.0,4.90394010027535,3.149273326285676
Friendly Family Dog,2.2968235748741126,2.9650115095030385,5.0,4.373032942212233,3.8124485579969285
Friendly Family Dog,3.7077519354554753,2.4375332241057324,4.6324077390555205,5.0,2.6218099622171964
Friendly Family Dog,1.4297752801095436,2.2728628241751316,3.7524813644484953,4.925566570899954,2.620672097550678
Friendly Family Dog,3.177701000933254,1.6646556412898987,4.380197851005963,5.0,2.55979044793104
Friendly Family Dog,4.080780725554622,3.833922154548904,4.459180079228437,4.929834288541353,1.0
Friendly Family Dog,3.429618219132586,3.2076876871631113,4.271578837195373,3.7232514241796903,1.0
Friendly Family Dog,4.053152853332904,2.960444846143345,4.681500697372624,5.0,2.0297561394957433
Friendly Family Dog,3.9382838059759977,2.483955271782626,4.0961207769409835,4.537724711294957,1.5655037725676844
Friendly Family Dog,2.6908278765313605,3.222133771633713,3.521251378336523,5.0,1.1053926977804962
Friendly Family Dog,2.813128355838641,2.560268941725825,5.0,5.0,3.0318445394686346
Friendly Family Dog,1.514439626963028,3.267050265869259,4.889630795623437,5.0,3.065480375065351
Friendly Family Dog,2.4827115498996277,4.40934744018558,5.0,4.637161439560341,1.5544974785992283
Friendly Family Dog,4.453384477117701,4.579572145730713,3.477139972846732,4.579813182904142,1.7182153911394926
Friendly Family Dog,1.655549488965723,2.0813480535158018,2.9958592332479324,4.232202434895871,1.965315112613219
Friendly Family Dog,3.23421473253652,4.550500492814077,3.001645959261209,5.0,1.786011155774491
Friendly Family Dog,2.950536290347567,3.6748194921666038,2.8772779784377014,5.0,2.166452208213056
Friendly Family Dog,3.4924512640081486,3.2891686439078183,5.0,4.362260015748684,1.4690030449981824
Friendly Family Dog,2.3768594735752355,2.4445228808397452,3.3626128726934823,5.0,3.4205042479898546
Friendly Family Dog,2.429253706250524,2.1676444268957713,4.471415556386404,4.4477769557190285,2.632931817755511
Friendly Family Dog,3.2029230208512995,1.484255885002768,5.0,5.0,1.387211309515614
Friendly Family Dog,2.612298440064016,3.285865390724905,4.334456789987025,5.0,4.01020453876635
Friendly Family Dog,2.8230527725059504,2.2017027554615463,2.620680771985473,4.269069960058081,1.966873027126203
Friendly Family Dog,4.794557863517788,2.4823887009638286,4.223787951638898,4.983577103927248,3.188393273448084
Friendly Family Dog,5.0,2.4691312270796795,3.510560557481778,5.0,2.6818914896263113
Friendly Family Dog,4.846707325736034,3.5839281853259637,3.6407079092129404,5.0,3.1087035805829077
Friendly Family Dog,3.8204821811973644,3.507274031107298,5.0,5.0,3.382158991037527
Friendly Family Dog,3.648709887589643,2.8328819196831456,4.146713686433323,5.0,1.183064329012764
Friendly Family Dog,3.3686733088729013,2.606661187672639,4.028744822934818,5.0,2.1910990680199034
Friendly Family Dog,3.046436548156149,1.6401438590200808,4.746253566027221,5.0,4.16325472330546
Friendly Family Dog,2.6922217650469995,3.2191503276639386,4.2493836837107555,5.0,1.904704467613048
Friendly Family Dog,3.2790215257703395,3.6078965097165394,4.186609123156358,4.5535663854494715,2.1940899928983075
Friendly Family Dog,4.073631749859772,1.9734847005889398,4.132969674146876,4.299879185060827,3.1950466289248425
Friendly Family Dog,1.4768130952162253,2.4410781527284118,4.377211875064521,5.0,1.9342497389270121
Friendly Family Dog,2.4448004733068016,4.88115706944059,2.5519860995837558,2.801194043379918,2.4400144500533325
Friendly Family Dog,2.4979457756473886,1.9787671828692868,4.708356447299353,5.0,1.4359213692632715
Friendly Family Dog,1.7196956013291056,3.8724573282801447,4.650201177958661,4.900824136220617,3.846636996047666
Friendly Family Dog,1.9299152336738474,1.4744748290752612,3.3080919301187555,4.9544139836445025,2.2433394493226917
Friendly Family Dog,2.7587639421436703,3.352055396514297,2.7484605758095557,5.0,1.9178488216074312
Friendly Family Dog,4.117295831588128,3.342725346377704,4.456753219153784,5.0,2.4477085600173147
Friendly Family Dog,3.642722759867544,4.329152530132431,4.19652116970147,5.0,1.9102643057127733
Friendly Family Dog,4.440117215449472,2.32360769794073,5.0,4.9598420493556565,1.0
Friendly Family Dog,3.1281044149107893,2.318948342525119,4.840643548988725,4.347376020697609,1.5538165667852204
Friendly Family Dog,1.110459269054469,2.5476936807509234,1.5761206733710433,3.4160971765142767,2.7604146561442975
Friendly Family Dog,3.785800158650832,3.425457561784965,3.033023856870787,4.9522886438580205,1.9963974609094315
Friendly Family Dog,1.8416353108074577,4.503398301767151,4.877362290575672,4.779035826170336,2.026885838994531
Friendly Family Dog,3.2083828079475527,1.0,3.7528226174794033,4.318015752002202,1.0
Friendly Family Dog,2.718899707114045,4.797686526849523,4.64084286126701,4.428821010217203,2.5725827813561586
Watchdog/Protector,3.399355436586002,4.924633682912769,2.0596303699201743,1.353063222294426,4.69822331361359
Watchdog/Protector,2.3934853854217497,4.895193220027732,2.6351718016819694,3.049552715319335,3.464764788439432
Watchdog/Protector,3.3173940656343257,4.1975996046924,4.0752608726252655,1.3108121819104321,5.0
Watchdog/Protector,2.197910783462648,3.3485819963855517,1.5161141659456785,1.6796526918056798,4.424165946401916
Watchdog/Protector,2.5228354880354997,3.426299996061421,1.975645407739017,4.142270358611864,5.0
Watchdog/Protector,2.436323669674032,4.0380034781682,2.1200313267182613,2.6135179727304165,2.9772074348015947
Watchdog/Protector,1.7426234625766548,2.33141592612241,2.3992231226052794,2.647195939702741,3.516813537700626
Watchdog/Protector,3.5739867632900326,2.774234336997659,1.0,2.224451818559972,5.0
Watchdog/Protector,3.6839276914578685,3.5411157371310598,3.078680833431296,1.9614915304992928,3.8273727000591804
Watchdog/Protector,2.8836599374866725,4.65232287841342,1.0,3.4765403497258958,5.0
Watchdog/Protector,1.3744372984904705,4.395803533437409,2.494030186282739,2.260673765823907,3.4496948461545798
Watchdog/Protector,1.3283766320619486,3.9744459290085548,3.1727290192593647,2.5436001545944324,3.629385667913894
Watchdog/Protector,2.771698710648345,1.1514573793699245,3.1487657003721035,1.0,3.637559058596868
Watchdog/Protector,1.0,2.7053185242790945,3.160826787378519,1.5322987986881087,4.346503881730715
Watchdog/Protector,1.953079421120816,4.477040827223122,2.076821891060255,1.0,4.99626681944714
Watchdog/Protector,1.5062434168386876,2.443418101340249,1.5718848390340874,3.500759790634311,4.850221742113493
Watchdog/Protector,1.6513478655921408,3.6507422956815714,1.6783649487826173,4.076747983560841,4.381935452231553
Watchdog/Protector,2.4300416471910697,5.0,2.2387891590265134,1.740957854179297,3.8036501509150216
Watchdog/Protector,1.928398740585936,3.962777763490158,2.7276295436369797,2.0519458858072994,4.73264007721558
Watchdog/Protector,1.9192834198914177,4.07863519031609,1.0,2.9163276747024813,4.346488475897993
Watchdog/Protector,2.9980101098596523,1.1037446218063107,4.088374704780728,1.8604103718448262,5.0
Watchdog/Protector,1.0,4.61277390506257,1.0,1.3762310393041948,5.0
Watchdog/Protector,1.8093175992366535,4.217432873179723,2.8700677306887536,2.4956818879726046,4.150418905143576
Watchdog/Protector,2.364961002466225,5.0,1.9423812029664147,2.2010990467149676,5.0
Watchdog/Protector,3.105525932957984,5.0,2.6387302220291846,1.0,5.0
Watchdog/Protector,1.0,4.3026354652390335,1.2457241499806422,1.9358616534070074,4.328762410303481
Watchdog/Protector,2.321357215450273,4.421920754235285,3.613711269058647,2.45353430151398,3.755843364709351
Watchdog/Protector,2.9640871682883576,5.0,1.0,2.597400069849858,4.701172742310899
Watchdog/Protector,1.702436496640008,5.0,1.849944412967473,2.1255764534715427,3.82692817571613
Watchdog/Protector,2.0155790475814674,2.9037249131047984,1.0,3.594505063224972,3.153038651681672
Watchdog/Protector,1.0086076505436927,1.8466098863962852,1.3610382523104976,1.0,5.0
Watchdog/Protector,3.009817089342634,3.311849654822276,4.252435805344309,2.9817654869915944,3.6751686164913777
Watchdog/Protector,1.0,5.0,1.0,1.0,5.0
Watchdog/Protector,4.439752406339273,5.0,2.56390912005236,2.594754341665286,4.853415558780307
Watchdog/Protector,2.7589285897867653,4.281191423969376,2.104201103951876,1.9374068721004776,3.246035411133324
Watchdog/Protector,1.719324923133226,2.3070431858046145,1.9016603732052502,1.0114088928490825,2.8964106827842286
Watchdog/Protector,2.1798941511534786,5.0,2.918316606002313,1.0,3.0103718634296626
Watchdog/Protector,2.940771187988216,3.0175126064616906,1.7753668500029753,2.550052099024552,3.0316555451363647
Watchdog/Protector,2.10537550614596,2.6659745050817953,1.398632356048786,2.319781934142537,2.407006266468331
Watchdog/Protector,2.440474737960399,3.980362201073319,2.552489954417148,2.2239141340646613,5.0
Watchdog/Protector,2.125224502647907,3.570594458874747,2.122297503032284,2.5432980290363885,4.048860070325705
Watchdog/Protector,2.040591691203882,3.2980083121932444,1.3370990824490516,1.0,5.0
Watchdog/Protector,1.0,3.3070948022040927,1.2815927344308027,2.8949243769444415,3.705050321707972
Watchdog/Protector,3.247742072673734,3.3265093757561317,2.278994162223802,1.1646529467402427,5.0
Watchdog/Protector,1.0,4.309820710227028,2.6337768809320985,2.4137990974514985,3.814712341122292
Watchdog/Protector,1.8701793002665739,4.04381147197911,1.8529979983715115,2.9638791167949097,5.0
Watchdog/Protector,1.4425082149921664,2.6301970204209217,1.9117179516487453,4.579709337654318,3.196325432030269
Watchdog/Protector,3.6391168054440675,5.0,1.4464117582920055,2.5689830791852755,5.0
Watchdog/Protector,1.6208722590125129,3.796419639897638,1.4183190860513561,1.0,3.350722454933993
Watchdog/Protector,1.0,4.034083468259226,1.2300267689413587,2.233785911790748,2.444104353796373
Watchdog/Protector,2.330880232214457,4.833528961608924,1.0,2.374056569847572,5.0
Watchdog/Protector,1.0,5.0,2.4190190093660453,1.2949881442415911,3.9442309223422938
Watchdog/Protector,2.5583269125217223,4.076005391412411,2.538755992446369,1.0793264069206336,4.169360824036078
Watchdog/Protector,1.0,3.8887739386513,1.0960923585352103,1.2644700574102334,5.0
Watchdog/Protector,3.091310120594269,4.609138120907177,1.0,1.6835915503051981,5.0
Watchdog/Protector,2.141716913639905,5.0,2.393317839394372,2.1920491164900318,3.6908835357974987
Watchdog/Protector,2.133540904782282,3.8475301636194565,2.7081086766885907,2.9567023167945843,3.2140105394920506
Watchdog/Protector,1.0,2.1637946268967037,2.507991326912544,1.0,1.8471094070475171
Watchdog/Protector,2.3885786045309643,5.0,1.9939290884601066,2.8384907744516417,4.081829358547565
Watchdog/Protector,1.9011103468088573,4.9190764829877685,1.7097254558113486,2.267392314071903,4.321697806196013
Watchdog/Protector,1.3319095463569512,4.992042349536523,1.8250402433045914,1.2442548405071552,4.536509843570403
Watchdog/Protector,1.1015320182089627,4.028181157369128,1.9908810033557964,3.085895565831578,4.474698232879953
Watchdog/Protector,1.974973041254856,4.817766299200287,3.3902075490173136,2.557810306351862,4.01035261984338
Watchdog/Protector,1.0,2.9348863369246274,1.6947752956453324,1.3904877978407169,3.813028697014554
Watchdog/Protector,2.056649924897107,4.529692754356731,1.929501221940909,2.4865016438262018,4.06447441481012
Watchdog/Protector,1.0,3.0606646061812457,1.8559124442783845,1.0,4.599928729996204
Watchdog/Protector,3.5307508323436974,5.0,1.786557129069792,3.4907261368499523,4.148667457202111
Watchdog/Protector,1.6629140288819604,3.3865973364590602,1.6975303135118716,1.6118231814587713,4.170416222375488
Watchdog/Protector,2.1605739810498648,4.003046020153414,2.43693816974635,3.1906462747863413,4.949554135441324
Watchdog/Protector,1.0,1.4460788650980452,2.9343199112392737,1.0,3.7752345981073163
Watchdog/Protector,1.0,2.1980195624199803,2.541462728204788,2.759155160302647,3.423489599273281
Watchdog/Protector,1.0,3.453755551747517,2.3918040054025465,1.0,4.183359919779155
Watchdog/Protector,1.9846901508270045,4.579291499601088,2.1195803684141534,1.0269310591184446,5.0
Watchdog/Protector,1.84147042697303,3.972695460490068,1.066732040926804,1.5567177488084898,3.115197285973099
Watchdog/Protector,1.827053940076577,5.0,1.0,1.0,5.0
Watchdog/Protector,1.790676322848134,3.3309272613400833,3.0399046873960764,1.394384460263136,5.0
Watchdog/Protector,2.6779258713392693,3.5120885918542974,4.1573082132655035,1.3942850769966615,4.742095372009307
Watchdog/Protector,2.299292580406492,5.0,3.561511196726853,2.0320041490657665,3.2465821296538167
Watchdog/Protector,2.4599721429391166,3.3222846302478937,4.013387247526623,2.1365353310827375,3.6346784486878914
Watchdog/Protector,2.1846803058649082,2.6528737104703035,1.0283859614893485,3.2004139079444256,3.3431057210286044
Watchdog/Protector,1.0,4.536652752527286,3.185704154662997,2.718953310665067,4.9960476858058165
Watchdog/Protector,1.2432049114305392,2.5781893332581562,3.5013336519554867,1.6773201611578643,3.749166983544953
Watchdog/Protector,3.3281941418490577,4.55623000940066,2.4558877720816077,4.165002344901084,3.3564817696198572
Watchdog/Protector,2.927840128081237,4.057013124897084,2.2685922788632573,3.5284684264125317,4.507835756289624
Watchdog/Protector,2.538296079049633,5.0,1.6350472704571146,1.1607903326609936,2.955190805978966
Watchdog/Protector,1.0,5.0,1.0,1.778746376414228,3.7231867001110794
Watchdog/Protector,2.3074066978091006,4.815737212539297,2.8604734883597454,1.4169225614310617,3.8328782862135884
Watchdog/Protector,2.2825799504882998,3.751308873816453,3.6073455760199926,2.4909749516382513,4.734877786049817
